strategy,pattern,run_index,total_requests,success_count,error_count,rejected_count,throughput_rps,error_rate,rejection_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,latency_stddev_ms,budget_10_success_rate,budget_50_success_rate,budget_100_success_rate,duration_seconds
no_governance,step,1,137531,99959,37572,0,302.34,0.2732,0.0000,86.94,47.00,318.00,451.00,1095.00,102.28,0.7258,0.7275,0.7271,330.62
no_governance,step,2,131104,96264,34840,0,291.05,0.2657,0.0000,93.32,50.00,331.00,465.00,867.00,105.96,0.7356,0.7323,0.7349,330.75
no_governance,step,3,133984,98948,35036,0,299.11,0.2615,0.0000,91.61,50.00,321.00,454.00,1015.00,102.92,0.7364,0.7381,0.7410,330.81
static_rate_limit,step,1,233519,9944,0,223575,30.09,0.0000,0.9574,1.55,0.00,1.00,44.00,63.00,7.48,0.0429,0.0421,0.0427,330.49
static_rate_limit,step,2,233514,9943,0,223571,30.09,0.0000,0.9574,1.55,0.00,1.00,44.00,84.00,7.48,0.0433,0.0420,0.0425,330.47
static_rate_limit,step,3,233538,9943,0,223595,30.09,0.0000,0.9574,1.55,0.00,1.00,44.00,63.00,7.46,0.0428,0.0427,0.0423,330.46
rajomon,step,1,227513,403,0,227110,1.22,0.0000,0.9982,0.19,0.00,1.00,3.00,63.00,1.66,0.0004,0.0016,0.0033,330.39
rajomon,step,2,227547,461,0,227086,1.40,0.0000,0.9980,0.19,0.00,1.00,3.00,57.00,1.75,0.0004,0.0028,0.0030,330.35
rajomon,step,3,227424,210,0,227214,0.64,0.0000,0.9991,0.15,0.00,1.00,2.00,56.00,1.22,0.0004,0.0010,0.0014,330.36
