group_name,description,strategy,total_requests,success_count,rejected_count,throughput_rps,error_rate,rejection_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,budget_10_success_rate,budget_50_success_rate,budget_100_success_rate,duration_seconds
rajomon_conservative,"保守配置: priceStep=5, threshold=800µs — 严格延迟容忍+小步长",rajomon,28171,10932,17239,197.50,0.0000,0.6119,14.54,0.00,48.00,56.00,149.00,0.1266,0.3345,0.7054,55.35
rajomon_relaxed,"放宽阈值: priceStep=5, threshold=2000µs — 高容忍度+小步长",rajomon,28526,11924,16602,215.31,0.0000,0.5820,15.87,0.00,49.00,58.00,131.00,0.1386,0.3678,0.7443,55.38
rajomon_steep,"大步长: priceStep=20, threshold=800µs — 小阈值+陡峭涨价",rajomon,24234,3161,21073,57.15,0.0000,0.8696,4.78,0.00,39.00,49.00,71.00,0.0670,0.1176,0.2067,55.31
rajomon_balanced,"平衡配置: priceStep=12, threshold=1500µs — 中等阈值+中步长",rajomon,27855,9990,17865,180.46,0.0000,0.6414,13.05,0.00,47.00,51.00,118.00,0.1100,0.2960,0.6688,55.36
rajomon_aggressive,"激进配置: priceStep=25, threshold=3000µs — 高阈值+大步长",rajomon,27275,8984,18291,162.12,0.0000,0.6706,12.08,0.00,47.00,51.00,144.00,0.1198,0.2727,0.5991,55.42
