strategy,pattern,run_index,total_requests,success_count,error_count,rejected_count,throughput_rps,error_rate,rejection_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,latency_stddev_ms,budget_10_success_rate,budget_50_success_rate,budget_100_success_rate,duration_seconds
no_governance,poisson,1,2883,2883,0,0,48.06,0.0000,0.0000,36.60,36.00,49.00,56.00,266.00,11.08,1.0000,1.0000,1.0000,59.99
static_rate_limit,poisson,1,2969,1827,0,1142,30.47,0.0000,0.3846,22.36,27.00,48.00,50.00,58.00,18.97,0.6004,0.6280,0.6176,59.96
rajomon,poisson,1,2887,936,0,1951,15.60,0.0000,0.6758,11.95,0.00,47.00,50.00,86.00,17.94,0.0453,0.3088,0.6075,60.01
